,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu
167,IKP,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00662,17:45,3.0,1,0.0, 
168,ILZ,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00647,17:45,3.0,1,0.0, 
169,IMF,09:00,0.0,1000000,0.0,İşlem Görüyor, ,TRYISTP00117,13:30,0.0,5000,0.0, 
170,IOG,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00597,17:45,3.0,1,0.0, 
171,IPB,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISMD00159,17:30,1.0,1,0.0, 
172,IPJ,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00191,17:45,3.0,1,0.0, 
173,IPV,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00100,17:45,3.0,1,0.0, 
174,IST,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYISMD00076,13:30,0.0,1,0.0, 
175,ITP,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00621,17:45,3.0,1,0.0, 
176,IYB,09:30,1.0,50,0.0,İşlem Görüyor, ,TRMIYBWWWWW9,13:30,1.0,50,0.0, 
177,IZF,09:00,1.0,1,500000.0,İşlem Görüyor, ,TRYQPYS00086,12:30,3.0,1,500000.0, 
178,IZS,09:00,0.0,25000,0.0,İşlem Görüyor, ,TRYISTP00125,13:30,0.0,5000,0.0, 
179,KIS,09:00,1.0,1000,100000000.0,İşlem Görüyor, ,TRYERPO00010,12:30,3.0,1,100000000.0, 
180,KKH,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00571,17:45,1.0,1,0.0, 
181,KLU,09:00,0.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00202,12:30,0.0,1,10000000000.0, 
182,KPC,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00186,17:45,2.0,1,10000000000.0, 
183,KRC,09:00,1.0,1000,100000000.0,İşlem Görüyor, ,TRYKARE00036,17:30,1.0,1000,100000000.0, 
184,KRF,09:00,1.0,1,100000000.0,İşlem Görüyor, ,TRYKARP00016,17:30,2.0,1,100000000.0, 
185,KRS,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYKARE00051,17:30,3.0,1,0.0, 
186,KRT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYKARP00024,17:30,3.0,1,0.0, 
187,KSV,09:00,0.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00160,12:30,0.0,1,10000000000.0, 
188,KTM,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00012,17:45,2.0,1,10000000000.0, 
189,KTN,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00020,17:45,1.0,1,10000000000.0, 
190,KTR,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00038,17:45,1.0,1,10000000000.0, 
191,KTS,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00046,17:45,2.0,1,10000000000.0, 
192,KTT,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00053,17:45,2.0,1,10000000000.0, 
193,KTV,09:00,0.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00061,12:30,0.0,1,10000000000.0, 
194,KUB,09:00,1.0,1,100000000.0,İşlem Görüyor, ,TRYKARE00044,17:30,3.0,1,100000000.0, 
195,KYA,09:00,1.0,100,100000000.0,İşlem Görüyor, ,TRYKARE00010,17:30,2.0,100,100000000.0, 
196,KZL,09:00,1.0,1,1000000000.0,İşlem Görüyor, ,TRYKTPY00152,17:45,1.0,1,1000000000.0, 
197,MAC,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYSRMD00010,17:00,2.0,1,0.0, 
198,MAD,09:00,1.0,10,0.0,İşlem Görüyor, ,TRMMADWWWWW7,13:30,2.0,10,0.0, 
199,MBL,09:00,1.0,10,0.0,İşlem Görüyor, ,TRMMAKWWWWW2,13:30,2.0,10,0.0, 
200,MJG,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00224,17:45,3.0,1,0.0, 
201,MJL,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYMKFT00232,13:30,0.0,1,0.0, 
202,MKG,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00166,17:45,1.0,1,0.0, 
203,MMH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00174,17:45,2.0,1,0.0, 
204,MPF,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYMKFT00034,13:30,0.0,1,0.0, 
205,MPK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00026,17:45,1.0,1,0.0, 
206,MPN,09:00,1.0,1,0.0,"Fon Alımına Kapalı, Fon Bozumuna Açık", ,TRYMKFT00133,13:30,3.0,1,0.0, 
207,MPS,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00018,17:45,2.0,1,0.0, 
208,NBZ,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYVVGS00198,17:45,3.0,1,0.0, 
209,NNF,09:00,1.0,1,500000.0,İşlem Görüyor, ,TRYHDFP00060,17:45,2.0,1,500000.0, 
210,NSK,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYVVGS00024,17:45,1.0,1,0.0, 
211,NZH,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYVVGS00057,17:45,1.0,1,0.0, 
212,OBP,09:00,1.0,1,60000000.0,İşlem Görüyor, ,TRYOYMD00049,17:30,1.0,1,60000000.0, 
213,ODD,09:00,1.0,1,5000000.0,İşlem Görüyor, ,TRYOYKP00104,17:30,2.0,1,5000000.0, 
214,ODS,09:00,1.0,1,1000000.0,İşlem Görüyor, ,TRYOYKP00047,17:30,3.0,1,1000000.0, 
215,ODV,09:00,1.0,1,900000000.0,İşlem Görüyor, ,TRYAKPO00237,17:45,3.0,1,9000000000.0, 
216,OFS,09:00,1.0,1,10000000.0,İşlem Görüyor, ,TRYOYKP00161,17:30,2.0,1,10000000.0, 
217,OGD,09:00,1.0,1,5000000.0,İşlem Görüyor, ,TRYOYKP00138,17:30,1.0,1,5000000.0, 
218,OHB,09:00,1.0,1,60000000.0,İşlem Görüyor, ,TRYOYKP00039,17:30,2.0,1,60000000.0, 
219,OJT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYFIPO00230,17:30,3.0,1,0.0, 
220,OKD,09:00,1.0,1,60000000.0,İşlem Görüyor, ,TRYOYMD00072,17:30,2.0,1,60000000.0, 
221,OKP,09:00,0.0,1,1000000.0,İşlem Görüyor, ,TRYOYKP00088,13:00,0.0,1,1000000.0, 
222,OKT,09:00,1.0,1,50000000.0,İşlem Görüyor, ,TRYOYMD00064,17:30,1.0,1,50000000.0, 
223,ONN,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYMKFT00141,17:45,1.0,1,0.0, 
224,OPB,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYOSMP00060,17:30,1.0,1,0.0, 
225,OPH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYOSMP00094,17:30,2.0,1,0.0, 
226,OPI,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYOSMP00086,17:30,2.0,1,0.0, 
227,OPL,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYOSMP00110,17:30,1.0,1,0.0, 
228,OSD,09:00,1.0,1,125000.0,İşlem Görüyor, ,TRYOSMP00029,17:30,1.0,1,0.0, 
229,OSL,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYONCM00010,13:30,0.0,1,0.0, 
230,OTK,09:00,1.0,1,1000000.0,İşlem Görüyor, ,TRYOYKP00013,17:30,1.0,1,1000000.0, 
231,OUD,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYOSMP00128,17:00,3.0,1,0.0, 
232,PAL,09:00,1.0,1,9000000000000000.0,İşlem Görüyor, ,TRYAKPO00708,17:45,3.0,1,9000000000000.0, 
233,PBK,09:00,1.0,10,500000.0,İşlem Görüyor, ,TRYQPYS00078,12:30,3.0,10,500000.0, 
234,PDD,09:00,1.0,10,100000000.0,İşlem Görüyor, ,TRYQPYS00060,12:30,1.0,1,100000000.0, 
235,PPF,09:00,1.0,1,10000000000.0,"Fon Alımına Kapalı, Fon Bozumuna Açık", ,TRYAZIM00309,17:00,1.0,1,0.0, 
236,PPZ,09:00,0.0,1,2780000000.0,İşlem Görüyor, ,TRYAZIM00341,13:30,0.0,1,0.0, 
237,PVK,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYAPYS00098,12:30,0.0,1,0.0, 
238,RBA,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYAPYS00049,17:00,1.0,1,0.0, 
239,RBH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYAPYS00023,17:00,2.0,1,0.0, 
240,RBK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYAPYS00031,17:00,3.0,1,0.0, 
241,RBT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYAPYS00056,17:00,1.0,1,0.0, 
242,RPD,09:00,1.0,1,10000000.0,İşlem Görüyor, ,TRYRGGS00288,17:00,2.0,1,900000.0, 
243,ST1,09:00,1.0,1,30000000.0,İşlem Görüyor, ,TRMST1WWWWW8,16:30,2.0,1,30000000.0, 
244,SUA,09:00,1.0,100,0.0,İşlem Görüyor, ,TRYDUUM00010,17:30,2.0,100,0.0, 
245,SUB,09:00,1.0,100,0.0,İşlem Görüyor, ,TRYDUUM00028,17:30,1.0,1,0.0, 
246,SUC,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYUNPO00023,17:30,1.0,1,0.0, 
247,TAU,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTAUWWWWW6,17:45,2.0,1,0.0, 
248,TBT,09:00,1.0,1,1000000.0,İşlem Görüyor, ,TRMTE1WWWWW4,17:45,1.0,1,1000000.0, 
249,TBV,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTMEWWWWW5,17:45,1.0,1,0.0, 
250,TCA,09:00,1.0,500,10000000000.0,İşlem Görüyor, ,TRYTCZB00057,17:45,1.0,500,10000000000.0, 
251,TCB,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYTCMD00010,13:15,0.0,1,0.0, 
252,TCD,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMTCDWWWWW8,17:30,2.0,1,0.0, 
253,TDG,09:30,1.0,5000,0.0,İşlem Görüyor, ,TRYTISB00034,17:45,3.0,5000,0.0, 
254,TE3,09:00,1.0,1,50000000.0,İşlem Görüyor, ,TRMTE3WWWWW0,17:45,1.0,1,50000000.0, 
255,TE4,09:00,1.0,1,200000000.0,İşlem Görüyor, ,TRYTEBP00187,17:45,1.0,1,200000000.0, 
256,TFF,09:00,1.0,1,100000000.0,İşlem Görüyor, ,TRYTEBP00021,17:45,4.0,1,100000000.0, 
257,TGA,09:00,1.0,1,99999999999999.0,İşlem Görüyor, ,TRYGRAN00076,17:45,2.0,1,100000000000000.0, 
258,TGE,09:30,1.0,1000,0.0,İşlem Görüyor, ,TRYTISB00042,17:45,3.0,1000,0.0, 
259,TGR,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKPO00997,17:45,3.0,1,90000000000.0, 
260,TIE,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTIEWWWWW3,17:45,2.0,1,0.0, 
261,TI2,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTI2WWWWW8,17:45,2.0,1,0.0, 
262,TI3,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTI3WWWWW6,17:45,2.0,1,0.0, 
263,TI4,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTI4WWWWW4,17:45,1.0,1,0.0, 
264,TI6,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTI6WWWWW9,17:45,1.0,1,0.0, 
265,TI7,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTI7WWWWW7,17:45,2.0,1,0.0, 
266,TJF,09:00,1.0,1,200000000.0,İşlem Görüyor, ,TRYTEBP00195,17:45,3.0,1,200000000.0, 
267,TKF,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMTA1WWWWW8,17:30,2.0,1,0.0, 
268,TLE,09:30,1.0,100,0.0,İşlem Görüyor, ,TRYTALP00028,13:30,3.0,100,0.0, 
269,TLH,09:30,1.0,100,0.0,İşlem Görüyor, ,TRYTALP00010,13:30,2.0,100,0.0, 
270,TLZ,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATAP00054,17:30,2.0,1,0.0, 
271,TMC,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYTISB00075,17:45,1.0,1,0.0, 
