,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu,price
123,GZH,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00417,17:45,3.0,1,99999999999.0, ,0.0049
124,GZJ,09:00,1.0,1,999999999999.0,İşlem Görüyor, ,TRYGAPO00466,17:45,2.0,1,99999999999999.0, ,0.0075
125,GZM,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYGMDP00076,13:30,2.0,1,0.0, ,0.0039
126,GZN,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYGMDP00050,13:30,2.0,1,0.0, ,0.0074
127,GZP,09:00,1.0,1,99999999999999.0,İşlem Görüyor, ,TRYGAPO00474,17:45,2.0,1,99999999999999.0, ,0.0092
128,GZR,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00409,17:45,2.0,1,99999999999.0, ,0.0099
129,GZV,09:00,1.0,1,999999999999.0,İşlem Görüyor, ,TRYGAPO00441,17:45,3.0,1,9999999999999.0, ,0.0093
130,HBF,09:00,1.0,1,149999999.0,İşlem Görüyor, ,TRMDAFWWWWW1,17:30,1.0,1,149999999.0, ,0.0015
131,HBU,09:00,1.0,100,1999999999.0,İşlem Görüyor, ,TRMDUFWWWWW9,17:30,2.0,100,1999999999.0, ,0.0017
132,HMG,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYHSPO00037,17:30,2.0,1,99999999999.0, ,0.0016
133,HOA,09:00,1.0,1,4999999999.0,İşlem Görüyor, ,TRYHSBC00461,17:30,2.0,1,4999999999.0, ,0.0094
134,HOY,09:00,1.0,1,4999999999.0,İşlem Görüyor, ,TRYHSBC00479,17:30,3.0,1,4999999999.0, ,0.0062
135,HPD,09:00,1.0,1,9999999999.0,İşlem Görüyor, ,TRYHSBC00180,17:30,2.0,1,9999999999.0, ,0.0086
136,HPO,09:00,1.0,1,9999999999.0,İşlem Görüyor, ,TRYHSBC00198,17:30,1.0,1,9999999999.0, ,0.0083
137,HPT,09:00,0.0,1,9999999999.0,İşlem Görüyor, ,TRYHSBC00362,13:30,0.0,1,9999999999.0, ,0.008
138,HSA,09:00,1.0,1,999999.0,İşlem Görüyor, ,TRMDM1WWWWW2,17:30,2.0,1,999999.0, ,0.0013
139,HSL,09:00,0.0,1,9999999999.0,İşlem Görüyor, ,TRMDM2WWWWW0,13:30,0.0,1,9999999999.0, ,0.0049
140,HST,09:00,1.0,1,1999999999.0,İşlem Görüyor, ,TRMDBTWWWWW0,17:30,1.0,1,1999999999.0, ,0.0096
141,HTT,09:00,1.0,100,1999999999.0,İşlem Görüyor, ,TRMDBLWWWWW7,17:30,1.0,100,1999999999.0, ,0.0095
142,HVS,09:00,1.0,1,999999999.0,İşlem Görüyor, ,TRYHSBC00016,17:30,2.0,1,999999999.0, ,0.001
143,HYV,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYHDFP00078,13:30,0.0,1,0.0, ,0.0098
144,IAT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISMD00027,17:45,1.0,1,0.0, ,0.0095
145,IBB,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00183,17:45,2.0,1,0.0, ,0.0015
146,ICA,09:00,1.0,1000,10000000000.0,İşlem Görüyor, ,TRYTKSB00014,17:00,1.0,1000,10000000000.0, ,0.0099
147,ICC,09:00,1.0,10,715700000.0,İşlem Görüyor, ,TRMTMDWWWWW7,17:00,2.0,10,715700000.0, ,0.0069
148,ICD,09:00,1.0,10,5732000.0,İşlem Görüyor, ,TRMTL2WWWWW3,17:00,1.0,10,5732000.0, ,0.0039
149,ICE,09:00,0.0,10,0.0,İşlem Görüyor, ,TRMTL1WWWWW5,13:00,0.0,10,0.0, ,0.0075
150,ICF,09:00,1.0,10,10000000.0,İşlem Görüyor, ,TRMTL3WWWWW1,17:00,2.0,10,10000000.0, ,0.0009
151,ICV,09:00,1.0,10,10000000.0,İşlem Görüyor, ,TRYICBC00026,17:00,2.0,10,10000000.0, ,0.0074
152,ICZ,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKPO00880,17:45,2.0,1,90000000000.0, ,0.0013
153,IDF,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00241,17:45,3.0,1,0.0, ,0.0003
154,IDH,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00613,17:45,2.0,1,0.0, ,0.0041
155,IDL,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYMKFT00190,13:30,0.0,1,0.0, ,0.0049
156,IDY,09:00,1.0,1,9999999999.0,İşlem Görüyor, ,TRYOYKB00013,17:45,2.0,1,9999999999.0, ,0.0029
157,IHK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00654,17:45,2.0,1,0.0, ,0.0044
158,IIH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISTP00109,17:30,2.0,1,0.0, ,0.0011
159,IJB,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00688,17:45,3.0,1,0.0, ,0.0098
160,IJC,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00704,17:45,3.0,1,0.0, ,0.0046
161,IJH,09:00,1.0,10,10000000.0,İşlem Görüyor, ,TRYICBC00034,17:00,2.0,10,10000000.0, ,0.0036
162,IJP,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00670,17:45,3.0,1,0.0, ,0.0067
163,IJT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00712,17:45,3.0,1,0.0, ,0.0049
164,IJV,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYISTP00232,13:30,0.0,1,0.0, ,0.0047
165,IJZ,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00696,17:45,3.0,1,0.0, ,0.0098
