,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu,price
266,TJF,09:00,1.0,1,200000000.0,İşlem Görüyor, ,TRYTEBP00195,17:45,3.0,1,200000000.0, ,0.0028
267,TKF,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMTA1WWWWW8,17:30,2.0,1,0.0, ,0.007
268,TLE,09:30,1.0,100,0.0,İşlem Görüyor, ,TRYTALP00028,13:30,3.0,100,0.0, ,0.0065
269,TLH,09:30,1.0,100,0.0,İşlem Görüyor, ,TRYTALP00010,13:30,2.0,100,0.0, ,0.0031
270,TLZ,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYATAP00054,17:30,2.0,1,0.0, ,0.0094
271,TMC,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYTISB00075,17:45,1.0,1,0.0, ,0.0038
272,TMG,09:30,1.0,2000,0.0,İşlem Görüyor, ,TRMTYFWWWWW7,17:45,3.0,2000,0.0, ,0.0039
273,TOT,09:00,1.0,1,10000000.0,İşlem Görüyor, ,TRMDPFWWWWW9,17:45,1.0,1,10000000.0, ,0.001
274,TPC,09:00,1.0,1,100000000.0,İşlem Görüyor, ,TRYTEBP00062,17:45,3.0,1,100000000.0, ,0.0081
275,TPF,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYTACP00019,17:30,1.0,1,0.0, ,0.0041
276,TPL,09:00,1.0,1,1000000000.0,İşlem Görüyor, ,TRYTEBP00054,17:45,4.0,1,1000000000.0, ,0.0071
277,TPV,09:30,1.0,100,0.0,İşlem Görüyor, ,TRYTROY00028,13:30,2.0,1,0.0, ,0.0049
278,TPZ,09:00,1.0,5000,100000000.0,İşlem Görüyor, ,TRYTEBP00047,17:45,5.0,5000,100000000.0, ,0.0035
279,TTA,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYTISB00422,17:45,1.0,1,0.0, ,0.0081
280,TTE,09:30,1.0,1,0.0,İşlem Görüyor, ,TRMTTEWWWWW0,17:45,2.0,1,0.0, ,0.003
281,TUA,09:00,1.0,1,500000000.0,İşlem Görüyor, ,TRYTEBK00030,17:45,1.0,1,500000000.0, ,0.004
282,TYH,09:00,1.0,1,200000000.0,İşlem Görüyor, ,TRMTYHWWWWW3,17:45,2.0,1,200000000.0, ,0.009
283,TZD,09:00,1.0,100,10000000000.0,İşlem Görüyor, ,TRMTZDWWWWW9,17:45,2.0,100,10000000000.0, ,0.0026
284,TZT,09:00,1.0,500,10000000000.0,İşlem Görüyor, ,TRYTCZB00040,17:45,1.0,500,10000000000.0, ,0.0096
285,UPH,09:00,1.0,100,0.0,İşlem Görüyor, ,TRYUNPO00114,17:30,2.0,100,0.0, ,0.001
286,UPP,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYUNPO00148,13:00,0.0,1,0.0, ,0.0009
287,VFK,09:00,0.0,1,10000000000.0,İşlem Görüyor, ,TRYZIPO00170,13:30,0.0,1,10000000000.0, ,0.0055
288,YAC,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYAPO00071,17:45,3.0,1,0.0, ,0.01
289,YAK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMYAKWWWWW7,17:45,2.0,1,0.0, ,0.0065
290,YAN,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYAPO00063,17:45,3.0,1,0.0, ,0.0001
291,YAS,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMKAKWWWWW6,17:45,2.0,1,0.0, ,0.0018
292,YAY,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMYK9WWWWW2,17:45,3.0,1,0.0, ,0.002
293,YBE,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMKHYWWWWW2,17:45,3.0,1,0.0, ,0.0007
294,YBS,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYKBK00409,17:45,1.0,1,0.0, ,0.0014
295,YDI,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYKBK00458,17:45,2.0,1,0.0, ,0.0068
296,YEF,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMYEFWWWWW9,17:45,2.0,1,0.0, ,0.0049
297,YFV,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYKBK00607,17:45,1.0,1,0.0, ,0.0028
298,YHS,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMKC5WWWWW6,17:45,2.0,1,0.0, ,0.0073
299,YHZ,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYAPO00279,17:45,2.0,1,0.0, ,0.0087
300,YKT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYKBK00110,17:45,1.0,1,0.0, ,0.0052
301,YOT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRMKC4WWWWW9,17:45,1.0,1,0.0, ,0.0035
302,YPL,09:00,1.0,5000,0.0,İşlem Görüyor, ,TRYYAPO00097,17:45,3.0,1,0.0, ,0.0067
303,YPV,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYAPO00196,17:45,3.0,1,0.0, ,0.0007
304,YSU,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYKBK00524,17:45,1.0,1,0.0, ,0.0038
305,YTD,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYKBK00011,17:45,3.0,1,0.0, ,0.0021
306,YZG,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYAPO00220,17:45,3.0,1,0.0, ,0.0062
307,YZH,09:00,1.0,1,200000000.0,İşlem Görüyor, ,TRYTEBP00179,17:45,2.0,1,200000000.0, ,0.0093
308,YZK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYYAPO00238,17:45,3.0,1,0.0, ,0.0006
309,ZBD,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRMKN3WWWWW8,17:45,2.0,1,10000000000.0, ,0.003
310,ZDD,09:00,1.0,5,1000000000.0,İşlem Görüyor, ,TRYZIPO00147,17:45,2.0,1,1000000000.0, ,0.0094
311,ZDZ,09:00,1.0,5,1000000000.0,İşlem Görüyor, ,TRYZIPO00154,17:45,2.0,1,1000000000.0, ,0.0065
312,ZJL,09:00,1.0,100,10000000000.0,İşlem Görüyor, ,TRYZIPO00311,17:45,2.0,100,10000000000.0, ,0.0013
313,ZJV,09:00,1.0,100,10000000000.0,İşlem Görüyor, ,TRYZIPO00329,17:45,2.0,100,10000000000.0, ,0.0054
314,ZPC,09:00,1.0,5,10000000000.0,İşlem Görüyor, ,TRYZIPO00071,17:45,2.0,1,10000000000.0, ,0.0069
315,ZPE,09:00,1.0,5,10000000000.0,İşlem Görüyor, ,TRYZIPO00055,17:45,2.0,1,10000000000.0, ,0.0074
316,ZPF,09:00,1.0,5,10000000000.0,İşlem Görüyor, ,TRYZIPO00030,17:45,3.0,1,10000000000.0, ,0.0064
317,ZPG,09:00,1.0,5,10000000000.0,İşlem Görüyor, ,TRYZIPO00048,17:45,1.0,1,10000000000.0, ,0.0017
